city_name,city_id,max_lat,min_lat,max_lng,min_lng
那曲市,540000,36.483334,29.939001,95.047642,85.056134
阿里地区,540000,35.860696,29.679399,86.328587,78.395544
西安市,610000,34.743103,33.693877,109.822432,107.663753
铜川市,610000,35.580991,34.804856,109.496263,108.583512
宝鸡市,610000,35.105585,33.57935,108.053089,106.313336
咸阳市,610000,35.544246,34.194981,109.177963,107.651842
渭南市,610000,35.854156,34.20976,110.609331,108.967474
延安市,610000,37.498481,35.344618,110.551528,107.659612
汉中市,610000,33.877431,32.146037,108.283384,105.491949
榆林市,610000,39.58701,36.813965,111.248054,107.257494
安康市,610000,33.841692,31.705059,110.206428,108.021471
商洛市,610000,34.432503,33.095712,111.036972,108.569247
兰州市,620000,36.999155,35.571135,104.577268,102.601275
嘉峪关市,620000,39.999787,39.654263,98.520179,97.848305
金昌市,620000,38.996847,38.025071,102.723737,101.336459
白银市,620000,37.633173,35.416655,105.520633,103.547455
天水市,620000,35.182288,34.074222,106.717544,104.577245
武威市,620000,39.461375,36.673406,104.207327,101.830565
张掖市,620000,39.888057,37.62764,102.205099,97.395053
平凉市,620000,35.750059,34.877206,107.864082,105.345483
酒泉市,620000,42.795163,38.145398,100.242573,92.339146
庆阳市,620000,37.158652,35.241542,108.712336,106.361448
定西市,620000,36.044857,34.127228,105.648544,103.470999
陇南市,620000,34.533203,32.59411,106.584848,104.02653
临夏回族自治州,620000,36.221778,34.96082,103.856178,102.686003
甘南藏族自治州,620000,35.587977,33.103025,104.759457,100.764429
西宁市,630000,37.47032,36.231082,101.914497,100.869269
海东市,630000,37.148206,35.447944,103.070971,101.666407
海北藏族自治州,630000,39.090291,36.739915,102.642199,98.093325
黄南藏族自治州,630000,36.169598,34.080097,102.450992,100.687669
海南藏族自治州,630000,37.175334,34.639413,101.774544,98.921209
果洛藏族自治州,630000,35.621279,32.522419,101.778548,96.935059
玉树藏族自治州,630000,36.279696,31.598662,97.758782,89.404424
海西蒙古族藏族自治州,630000,39.208344,32.720761,99.697861,89.634926
银川市,640000,38.875637,37.636747,106.885679,105.821022
石嘴山市,640000,39.381569,38.601478,106.971741,105.968876
吴忠市,640000,38.264714,36.579026,107.659274,105.55755
固原市,640000,36.519386,35.238303,106.95944,105.325049
中卫市,640000,37.739851,36.121268,106.472003,104.287039
乌鲁木齐市,650000,45.002005,42.923366,88.974715,86.797891
克拉玛依市,650000,46.212195,44.126021,86.024504,84.579295
吐鲁番市,650000,43.63268,41.197667,91.917471,87.262848
哈密市,650000,45.096884,40.872512,96.386194,91.153526
昌吉回族自治州,650000,45.48769,43.097128,91.569012,85.579566
博尔塔拉蒙古自治州,650000,45.383676,44.006229,83.798945,79.88716
巴音郭楞蒙古自治州,650000,43.569886,35.639423,93.821096,82.470332
阿克苏地区,650000,42.646758,39.464038,84.087598,78.02772
克孜勒苏柯尔克孜自治州,650000,41.408232,37.650928,78.875524,73.502355
喀什地区,650000,40.257636,35.448246,79.863067,74.463504
和田地区,650000,39.622896,34.334502,84.986352,77.403673
伊犁哈萨克自治州,650000,44.843567,42.258971,85.255747,80.163922
塔城地区,650000,47.236088,43.478662,87.341261,82.266753
阿勒泰地区,650000,49.182342,45.001753,91.079147,85.529341
石河子市,650000,44.625541,44.125948,86.141916,85.533232
阿拉尔市,650000,41.471021,40.289075,81.978617,79.726723
图木舒克市,650000,40.097601,39.610079,79.60738,78.657389
五家渠市,650000,44.594823,44.001655,87.716181,87.368066
北屯市,650000,47.429651,47.114854,88.431652,87.481224
铁门关市,650000,41.948942,41.661401,86.099658,85.357576
双河市,650000,45.148475,44.632359,82.741619,81.940358
可克达拉市,650000,44.180874,43.686568,81.133489,80.440787
昆玉市,650000,37.791085,36.141661,81.331128,78.328155
胡杨河市,650000,45.102864,44.627423,85.054787,84.627874
新星市,650000,42.823119,42.522908,94.157481,93.511064
台湾省,710000,25.925919,21.751467,124.565605,119.318252
香港特别行政区,810000,22.559157,22.151076,114.447264,113.839859
澳门特别行政区,820000,22.214074,22.106214,113.603872,113.533314
