district_name,city_name,city_id,max_lat,min_lat,max_lng,min_lng
武强县,衡水市,130000,38.169023,37.921487,116.070604,115.769325
饶阳县,衡水市,130000,38.371919,38.089745,115.901181,115.559956
安平县,衡水市,130000,38.362844,38.082019,115.687886,115.323151
故城县,衡水市,130000,37.543502,37.05927,116.285543,115.756348
景县,衡水市,130000,37.87135,37.462372,116.474706,115.908623
阜城县,衡水市,130000,38.025408,37.765324,116.565249,116.053725
深州市,衡水市,130000,38.194992,37.71105,115.847978,115.344452
小店区,太原市,140000,37.851319,37.595752,112.694316,112.401751
迎泽区,太原市,140000,37.920519,37.804718,112.783992,112.536611
杏花岭区,太原市,140000,37.97768,37.861385,112.778493,112.537081
尖草坪区,太原市,140000,38.07505,37.880511,112.649915,112.352937
万柏林区,太原市,140000,37.981277,37.781115,112.54321,112.267749
晋源区,太原市,140000,37.82296,37.606981,112.54944,112.326689
清徐县,太原市,140000,37.781115,37.458858,112.628268,112.171971
阳曲县,太原市,140000,38.421313,37.937969,113.156613,112.205474
娄烦县,太原市,140000,38.229994,37.847823,112.052214,111.515924
古交市,太原市,140000,38.176008,37.669077,112.342814,111.734661
新荣区,大同市,140000,40.413391,40.12275,113.523812,112.873842
平城区,大同市,140000,40.175683,39.982295,113.403859,113.208438
云冈区,大同市,140000,40.174574,39.891563,113.396724,112.886367
云州区,大同市,140000,40.254794,39.719537,113.869972,113.32901
阳高县,大同市,140000,40.517985,39.831805,114.047371,113.486913
天镇县,大同市,140000,40.739941,40.056781,114.53066,113.910842
广灵县,大同市,140000,39.929745,39.592008,114.416992,113.850723
灵丘县,大同市,140000,39.655369,39.048278,114.568922,113.897867
浑源县,大同市,140000,39.874668,39.369976,113.976477,113.382989
左云县,大同市,140000,40.262574,39.740671,112.979166,112.578379
城区,阳泉市,140000,37.875107,37.833066,113.652762,113.56051
矿区,阳泉市,140000,37.913942,37.855243,113.570076,113.497521
郊区,阳泉市,140000,38.090612,37.767741,113.706025,113.326077
平定县,阳泉市,140000,38.110831,37.662684,114.046117,113.441142
盂县,阳泉市,140000,38.521979,37.947938,113.834204,112.91987
潞州区,长治市,140000,36.440841,36.123502,113.212546,112.993824
上党区,长治市,140000,36.169217,35.868479,113.201846,112.964667
屯留区,长治市,140000,36.507998,36.188423,113.048428,112.449239
潞城区,长治市,140000,36.488024,36.243234,113.435398,112.995445
襄垣县,长治市,140000,36.740204,36.39298,113.247338,112.704742
平顺县,长治市,140000,36.457934,35.952348,113.736403,113.197
黎城县,长治市,140000,36.880576,36.396729,113.594825,113.173616
壶关县,长治市,140000,36.219639,35.822511,113.661055,113.131383
长子县,长治市,140000,36.260892,35.922549,113.013702,112.490518
武乡县,长治市,140000,37.125221,36.657472,113.372965,112.445788
沁县,长治市,140000,36.972686,36.428522,112.901422,112.471769
沁源县,长治市,140000,37.017157,36.33962,112.545716,111.984774
城区,晋城市,140000,35.592942,35.425845,112.924431,112.752791
沁水县,晋城市,140000,36.062708,35.3881,112.786058,111.9414
阳城县,晋城市,140000,35.685154,35.211631,112.640713,112.022046
陵川县,晋城市,140000,35.897815,35.426683,113.625038,113.041042
泽州县,晋城市,140000,35.713779,35.187007,113.238594,112.549756
高平市,晋城市,140000,35.987139,35.649863,113.162854,112.704766
朔城区,朔州市,140000,39.456432,39.08522,112.775692,112.019688
平鲁区,朔州市,140000,39.978043,39.352849,112.690768,111.894702
山阴县,朔州市,140000,39.776796,39.173173,113.076505,112.431541
应县,朔州市,140000,39.733096,39.294489,113.577269,112.959638
右玉县,朔州市,140000,40.300055,39.692977,112.648338,112.116398
怀仁市,朔州市,140000,39.958283,39.612081,113.439607,112.771092
榆次区,晋中市,140000,37.881897,37.397601,113.111902,112.578509
太谷区,晋中市,140000,37.55884,37.212534,113.047495,112.47626
榆社县,晋中市,140000,37.399487,36.871893,113.214664,112.652537
左权县,晋中市,140000,37.276492,36.74434,113.794941,113.104345
和顺县,晋中市,140000,37.58422,37.063401,113.936607,113.067702
昔阳县,晋中市,140000,37.727853,37.330233,114.139712,113.335789
寿阳县,晋中市,140000,38.092872,37.539689,113.453825,112.765536
祁县,晋中市,140000,37.485495,37.079711,112.689433,112.220623
平遥县,晋中市,140000,37.341598,36.933867,112.55104,111.940549
灵石县,晋中市,140000,36.999051,36.650121,112.011688,111.412268
介休市,晋中市,140000,37.180647,36.839515,112.17637,111.735372
盐湖区,运城市,140000,35.371195,34.818534,111.187021,110.739439
临猗县,运城市,140000,35.30579,34.980287,110.92253,110.337662
万荣县,运城市,140000,35.528464,35.231733,111.000008,110.418871
闻喜县,运城市,140000,35.572171,35.165071,111.626098,110.998231
稷山县,运城市,140000,35.807851,35.381336,111.095565,110.819209
新绛县,运城市,140000,35.819725,35.454289,111.34792,111.035548
绛县,运城市,140000,35.655303,35.337802,111.908854,111.371165
垣曲县,运城市,140000,35.431474,34.987977,112.081519,111.513777
夏县,运城市,140000,35.317277,34.928812,111.681669,111.043576
平陆县,运城市,140000,35.016341,34.701698,111.63671,110.895138
芮城县,运城市,140000,34.841926,34.581934,110.968492,110.236613
永济市,运城市,140000,35.059986,34.670408,110.771334,110.229593
河津市,运城市,140000,35.78909,35.472284,110.843427,110.545523
忻府区,忻州市,140000,38.68349,38.206525,112.972207,112.266925
定襄县,忻州市,140000,38.663293,38.340259,113.294484,112.745563
五台县,忻州市,140000,39.081389,38.468009,113.857626,112.962238
代县,忻州市,140000,39.362768,38.846731,113.368777,112.724595
繁峙县,忻州市,140000,39.441261,38.962133,113.968182,113.157826
宁武县,忻州市,140000,39.142535,38.512544,112.633277,111.834958
静乐县,忻州市,140000,38.680913,38.132392,112.339176,111.723427
神池县,忻州市,140000,39.404916,38.929348,112.300731,111.718215
五寨县,忻州市,140000,39.253407,38.711734,112.024754,111.463431
岢岚县,忻州市,140000,38.977275,38.483886,111.883516,111.211483
河曲县,忻州市,140000,39.453033,38.902173,111.618963,111.119077
保德县,忻州市,140000,39.115284,38.658695,111.335629,110.944949
偏关县,忻州市,140000,39.663675,39.218124,112.012265,111.363536
原平市,忻州市,140000,39.153154,38.587161,113.092328,112.285714
尧都区,临汾市,140000,36.331534,35.899977,111.821597,111.088296
曲沃县,临汾市,140000,35.861405,35.554402,111.631942,111.377296
翼城县,临汾市,140000,35.864091,35.387895,112.053722,111.568084
襄汾县,临汾市,140000,36.054045,35.670724,111.685339,111.126944
洪洞县,临汾市,140000,36.54917,36.094882,111.896305,111.349885
古县,临汾市,140000,36.593138,36.039751,112.188788,111.819913
安泽县,临汾市,140000,36.502498,35.894993,112.574436,112.011507
浮山县,临汾市,140000,36.101089,35.816396,112.213624,111.651076
吉县,临汾市,140000,36.351583,35.888501,111.132394,110.447069
乡宁县,临汾市,140000,36.150064,35.689287,111.293146,110.510861
大宁县,临汾市,140000,36.609187,36.275543,111.021707,110.468624
隰县,临汾市,140000,36.931056,36.455851,111.272937,110.758456
永和县,临汾市,140000,36.936522,36.520969,110.838948,110.374672
蒲县,临汾市,140000,36.633345,36.198222,111.397782,110.865287
汾西县,临汾市,140000,36.804232,36.455271,111.677717,111.229285
侯马市,临汾市,140000,35.705138,35.534503,111.459068,111.265425
霍州市,临汾市,140000,36.718811,36.441974,112.05216,111.625026
离石区,吕梁市,140000,37.737284,37.342301,111.605146,110.944264
文水县,吕梁市,140000,37.585957,37.266473,112.330118,111.511829
交城县,吕梁市,140000,37.899365,37.466469,112.29459,111.413771
兴县,吕梁市,140000,38.730072,38.094913,111.477504,110.555887
临县,吕梁市,140000,38.235234,37.604992,111.306821,110.500369
柳林县,吕梁市,140000,37.633973,37.146402,111.104292,110.629696
石楼县,吕梁市,140000,37.268976,36.857489,111.104272,110.376818
岚县,吕梁市,140000,38.602359,38.08199,111.842348,111.368539
方山县,吕梁市,140000,38.17339,37.617899,111.580102,111.05873
中阳县,吕梁市,140000,37.484039,37.050384,111.493267,110.830224
交口县,吕梁市,140000,37.210112,36.73602,111.585088,111.067809
孝义市,吕梁市,140000,37.319359,36.941265,111.934284,111.366284
汾阳市,吕梁市,140000,37.484484,37.147252,112.014811,111.440583
新城区,呼和浩特市,150000,41.133446,40.812373,112.047465,111.599757
回民区,呼和浩特市,150000,40.949698,40.789329,111.675561,111.443046
玉泉区,呼和浩特市,150000,40.808896,40.632973,111.741099,111.508586
赛罕区,呼和浩特市,150000,40.969462,40.609352,112.188784,111.672476
土默特左旗,呼和浩特市,150000,40.930154,40.423155,111.811699,110.781551
托克托县,呼和浩特市,150000,40.596137,40.097612,111.545541,111.027981
和林格尔县,呼和浩特市,150000,40.691516,39.97546,112.311648,111.433866
清水河县,呼和浩特市,150000,40.182424,39.588911,112.116398,111.358084
武川县,呼和浩特市,150000,41.387432,40.785876,111.879318,110.517434
东河区,包头市,150000,40.653553,40.461924,110.444099,109.950532
昆都仑区,包头市,150000,40.813202,40.604928,109.873692,109.61222
青山区,包头市,150000,40.744388,40.618473,110.09346,109.839264
石拐区,包头市,150000,40.894599,40.588309,110.551529,110.02268
白云鄂博矿区,包头市,150000,41.936916,41.648068,110.058991,109.827595
九原区,包头市,150000,40.748581,40.482063,110.058245,109.399657
土默特右旗,包头市,150000,40.849434,40.244327,111.127491,110.239218
固阳县,包头市,150000,41.49977,40.724487,110.746903,109.619213
达尔罕茂明安联合旗,包头市,150000,42.738521,41.240089,111.443465,109.277392
海勃湾区,乌海市,150000,39.915113,39.501104,106.968424,106.74981
海南区,乌海市,150000,39.553987,39.036399,107.139314,106.739381
乌达区,乌海市,150000,39.633827,39.431445,106.786524,106.611372
红山区,赤峰市,150000,42.346365,42.032615,119.183623,118.844975
元宝山区,赤峰市,150000,42.425624,41.933948,119.508032,119.028064
松山区,赤峰市,150000,42.722553,42.03054,119.656054,117.792308
阿鲁科尔沁旗,赤峰市,150000,45.252308,43.370192,120.987609,119.067428
巴林左旗,赤峰市,150000,44.784512,43.609684,119.814623,118.738959
巴林右旗,赤峰市,150000,44.468407,43.216371,120.079014,118.198741
林西县,赤峰市,150000,44.25974,43.245748,118.581049,117.638152
克什克腾旗,赤峰市,150000,44.235208,42.387608,118.458646,116.356502
翁牛特旗,赤峰市,150000,43.436656,42.466935,120.785234,117.832624
喀喇沁旗,赤峰市,150000,42.23912,41.563918,119.341272,118.130674
宁城县,赤峰市,150000,41.882149,41.282313,119.419897,118.26962
敖汉旗,赤峰市,150000,43.029934,41.697066,120.892458,119.501244
科尔沁区,通辽市,150000,43.966633,43.362669,123.033577,121.681575
科尔沁左翼中旗,通辽市,150000,44.509706,43.545719,123.537215,121.165898
科尔沁左翼后旗,通辽市,150000,43.700931,42.670165,123.720878,121.59034
开鲁县,通辽市,150000,44.142029,43.311087,121.870484,120.422202
库伦旗,通辽市,150000,43.305018,42.36181,122.209762,121.134467
奈曼旗,通辽市,150000,43.539057,42.24252,121.606494,120.348414
扎鲁特旗,通辽市,150000,45.595707,43.839709,121.934363,119.248183
霍林郭勒市,通辽市,150000,45.655871,45.385597,119.756456,119.304326
东胜区,鄂尔多斯市,150000,39.97979,39.653734,110.389548,109.140944
康巴什区,鄂尔多斯市,150000,39.757007,39.514412,110.033246,109.608622
达拉特旗,鄂尔多斯市,150000,40.557422,39.808538,110.723072,108.989783
准格尔旗,鄂尔多斯市,150000,40.321621,39.266406,111.462966,110.115854
