fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c1111027380105,13.7万(28套),28,28套,套,136560,13.7万,元,"116.387552,39.962793;116.388711,39.962793;116.3888,39.961832;116.388225,39.961787;116.388217,39.961597;116.387633,39.961573",塔院胡同12号...,,1111027380105,resblock,1111027380105,塔院胡同12号院,116.387942,39.962414,30002,False
c1111027373865,14.6万(27套),27,27套,套,145919,14.6万,元,"116.382396,39.962063;116.383883,39.962108;116.384611,39.962419;116.384619,39.962696;116.38461,39.963716;116.384269,39.963736;116.384126,39.96367;116.383896,39.963753;116.382387,39.963169",德胜里一区,,1111027373865,resblock,1111027373865,德胜里一区,116.383332,39.962892,30002,False
c1111027374322,5.9万(27套),27,27套,套,58872,5.9万,元,"116.434516,39.866028;116.432782,39.865972;116.432872,39.86527;116.432135,39.865259;116.432135,39.865955;116.432014,39.865976;116.432001,39.86618;116.432261,39.866173;116.432248,39.866661;116.43227,39.867173;116.431772,39.867184;116.431471,39.867623;116.431412,39.868464;116.43297,39.868296;116.433635,39.86795;116.434201,39.867444",芳群园三区,,1111027374322,resblock,1111027374322,芳群园三区,116.432429,39.866533,30002,False
c1111027377018,12.7万(27套),27,27套,套,127328,12.7万,元,"116.386084,39.961482;116.38673,39.961434;116.38682,39.960937;116.387525,39.960916;116.387579,39.961365;116.388105,39.961482;116.388204,39.959698;116.386174,39.959712",教场口9号院,,1111027377018,resblock,1111027377018,教场口9号院,116.387118,39.960732,30002,False
c1111027378097,9.2万(27套),27,27套,套,92131,9.2万,元,"116.442043,39.890028;116.442106,39.888949;116.442816,39.888992;116.442793,39.889273;116.442762,39.889404;116.442842,39.889565;116.442613,39.889748;116.442573,39.890046",龙潭北里,,1111027378097,resblock,1111027378097,龙潭北里,116.442724,39.889517,30002,False
c1111027378241,(27套),27,27套,套,0,,元,"116.448911,39.96486;116.449328,39.965143;116.449539,39.964991;116.449292,39.964836;116.449036,39.964708;116.44896,39.96477",MASTER领...,,1111027378241,resblock,1111027378241,MASTER领域,116.44931,39.964914,30002,False
c1111027379822,7.4万(27套),27,27套,套,73769,7.4万,元,"116.423112,39.902123;116.425007,39.902116;116.424954,39.903313;116.423076,39.903431",太华公寓,,1111027379822,resblock,1111027379822,太华公寓,116.42344152698,39.902372903484,30002,False
c1111063601416,10.1万(27套),27,27套,套,100871,10.1万,元,"116.414604,39.96534;116.414645,39.964466;116.416095,39.96449;116.416154,39.965344",盛德紫阙,,1111063601416,resblock,1111063601416,盛德紫阙,116.41544788922,39.964834195998,30002,False
c1120061667531008,7.1万(27套),27,27套,套,71075,7.1万,元,,吉祥里东区,,1120061667531008,resblock,1120061667531008,吉祥里东区,116.448411,39.931906,30002,False
c1111027374081,9.9万(26套),26,26套,套,98922,9.9万,元,"116.441239,39.94518;116.441405,39.943376;116.441787,39.943217;116.441778,39.941668;116.441612,39.941709;116.441504,39.941522;116.4418,39.941405;116.441836,39.945042;116.442842,39.945111;116.44286,39.945346",东直门南大街,,1111027374081,resblock,1111027374081,东直门南大街,116.441446,39.943621,30002,False
